id,title,type,description,listed_in,source_category,source_raw_id,text
movie_233f379a4e617700f11e2cdb216d23e7,Dick Johnson Is Dead,Movie,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Documentaries,netflix,s1,"Title: Dick Johnson Is Dead (Movie)
Description: As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.
Categories: Documentaries"
movie_bbb13c6e4dfd1ba9a90f3e3f0a151b27,My Little Pony: A New Generation,Movie,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",Children & Family Movies,netflix,s7,"Title: My Little Pony: A New Generation (Movie)
Description: Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.
Categories: Children & Family Movies"
movie_8ec81d93e8a35b05f46fe06dde0ba5a9,Sankofa,Movie,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.","Dramas, Independent Movies, International Movies",netflix,s8,"Title: Sankofa (Movie)
Description: On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.
Categories: Dramas, Independent Movies, International Movies"
movie_862dac6740fc9df343f99bb89e6c01e5,The Starling,Movie,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,"Comedies, Dramas",netflix,s10,"Title: The Starling (Movie)
Description: A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
Categories: Comedies, Dramas"
movie_a8772bf792d321d54ad0e8cfee32a2b9,Je Suis Karl,Movie,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Dramas, International Movies",netflix,s13,"Title: Je Suis Karl (Movie)
Description: After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.
Categories: Dramas, International Movies"
movie_52f003f225d0700f0c61be0e1f2b85a2,Confessions of an Invisible Girl,Movie,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Children & Family Movies, Comedies",netflix,s14,"Title: Confessions of an Invisible Girl (Movie)
Description: When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.
Categories: Children & Family Movies, Comedies"
movie_7ef4824879b9aa1e4ce5458ac48b0a87,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Documentaries, International Movies",netflix,s17,"Title: Europe's Most Dangerous Man: Otto Skorzeny in Spain (Movie)
Description: Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.
Categories: Documentaries, International Movies"
movie_429ab8df60c27b2aecf7d1ab7c73d80c,Intrusion,Movie,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",Thrillers,netflix,s19,"Title: Intrusion (Movie)
Description: After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.
Categories: Thrillers"
movie_8eb2b9a2bdb9f55e632f5b9fd66adb44,Avvai Shanmughi,Movie,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Comedies, International Movies",netflix,s23,"Title: Avvai Shanmughi (Movie)
Description: Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.
Categories: Comedies, International Movies"
movie_d02534715506ec95d8af8157f65270ac,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",Children & Family Movies,netflix,s24,"Title: Go! Go! Cory Carson: Chrissy Takes the Wheel (Movie)
Description: From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!
Categories: Children & Family Movies"
movie_a543fe1ce3205334fc56203f57be6a19,Jeans,Movie,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Comedies, International Movies, Romantic Movies",netflix,s25,"Title: Jeans (Movie)
Description: When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.
Categories: Comedies, International Movies, Romantic Movies"
movie_0d4588ef2d61b0af7101b9e5b16ffe88,Minsara Kanavu,Movie,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,"Comedies, International Movies, Music & Musicals",netflix,s27,"Title: Minsara Kanavu (Movie)
Description: A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
Categories: Comedies, International Movies, Music & Musicals"
movie_9b3f06b8a87284fba1425076d2cb5ba3,Grown Ups,Movie,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",Comedies,netflix,s28,"Title: Grown Ups (Movie)
Description: Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.
Categories: Comedies"
movie_5c13c9dd003df885ef2d083f8a3e67a1,Dark Skies,Movie,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.","Horror Movies, Sci-Fi & Fantasy",netflix,s29,"Title: Dark Skies (Movie)
Description: A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.
Categories: Horror Movies, Sci-Fi & Fantasy"
movie_1f2733413ed6327d9352a86c9b70ca08,Paranoia,Movie,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",Thrillers,netflix,s30,"Title: Paranoia (Movie)
Description: Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.
Categories: Thrillers"
movie_a80b165e8e0267b4b424ebefffb6a347,Ankahi Kahaniya,Movie,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Dramas, Independent Movies, International Movies",netflix,s31,"Title: Ankahi Kahaniya (Movie)
Description: As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.
Categories: Dramas, Independent Movies, International Movies"
movie_de60fdc7e190bcb7069cea56b83d9668,The Father Who Moves Mountains,Movie,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.","Dramas, International Movies, Thrillers",netflix,s36,"Title: The Father Who Moves Mountains (Movie)
Description: When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.
Categories: Dramas, International Movies, Thrillers"
movie_c930926a620c8e326781fd778ecc60e4,The Stronghold,Movie,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","Action & Adventure, Dramas, International Movies",netflix,s37,"Title: The Stronghold (Movie)
Description: Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.
Categories: Action & Adventure, Dramas, International Movies"
movie_44c8c11a683888c57afd01b745ce294b,Birth of the Dragon,Movie,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Action & Adventure, Dramas",netflix,s39,"Title: Birth of the Dragon (Movie)
Description: A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.
Categories: Action & Adventure, Dramas"
movie_a2798ddf69e021f034da1b305ab3e4f0,Jaws,Movie,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","Action & Adventure, Classic Movies, Dramas",netflix,s42,"Title: Jaws (Movie)
Description: When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.
Categories: Action & Adventure, Classic Movies, Dramas"
movie_2145d2357c1105430c241f8f58ecf7d9,Jaws 2,Movie,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","Dramas, Horror Movies, Thrillers",netflix,s43,"Title: Jaws 2 (Movie)
Description: Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.
Categories: Dramas, Horror Movies, Thrillers"
movie_2b614c5552d805e5bb9858176d7a82f5,Jaws 3,Movie,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","Action & Adventure, Horror Movies, Thrillers",netflix,s44,"Title: Jaws 3 (Movie)
Description: After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.
Categories: Action & Adventure, Horror Movies, Thrillers"
movie_16561e8237fe6aa392490da57c1e038a,Jaws: The Revenge,Movie,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.","Action & Adventure, Horror Movies, Thrillers",netflix,s45,"Title: Jaws: The Revenge (Movie)
Description: After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.
Categories: Action & Adventure, Horror Movies, Thrillers"
movie_7cd742db70b00c3f5211cc374cdda0c3,My Heroes Were Cowboys,Movie,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries,netflix,s46,"Title: My Heroes Were Cowboys (Movie)
Description: Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.
Categories: Documentaries"
movie_ba9e2973a2315657fad142fcc0e93276,Safe House,Movie,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure,netflix,s47,"Title: Safe House (Movie)
Description: Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
Categories: Action & Adventure"
movie_33035e3a2d82686378cfa43e4d98bccf,Training Day,Movie,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"Dramas, Thrillers",netflix,s49,"Title: Training Day (Movie)
Description: A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
Categories: Dramas, Thrillers"
movie_8ae83a44e0628d2f14a72371dec31b70,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.","Action & Adventure, Anime Features, International Movies",netflix,s52,"Title: InuYasha the Movie 2: The Castle Beyond the Looking Glass (Movie)
Description: With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.
Categories: Action & Adventure, Anime Features, International Movies"
movie_dc109cb69a90617de0081f7a5a67c01f,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,"Action & Adventure, Anime Features, International Movies",netflix,s53,"Title: InuYasha the Movie 3: Swords of an Honorable Ruler (Movie)
Description: The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
Categories: Action & Adventure, Anime Features, International Movies"
movie_eca7d90944d89ad1076bf3dd4b538b85,InuYasha the Movie 4: Fire on the Mystic Island,Movie,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.","Action & Adventure, Anime Features, International Movies",netflix,s54,"Title: InuYasha the Movie 4: Fire on the Mystic Island (Movie)
Description: Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.
Categories: Action & Adventure, Anime Features, International Movies"
movie_4b9a3d70894f129601a435c1820f8814,InuYasha the Movie: Affections Touching Across Time,Movie,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.","Action & Adventure, Anime Features, International Movies",netflix,s55,"Title: InuYasha the Movie: Affections Touching Across Time (Movie)
Description: A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.
Categories: Action & Adventure, Anime Features, International Movies"
movie_4f0e36a208e185d678e848620b449434,Naruto Shippuden the Movie: Blood Prison,Movie,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.","Action & Adventure, Anime Features, International Movies",netflix,s57,"Title: Naruto Shippuden the Movie: Blood Prison (Movie)
Description: Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.
Categories: Action & Adventure, Anime Features, International Movies"
movie_8ecc321e0dda8c48b105cc92b5797e0e,Naruto Shippûden the Movie: Bonds,Movie,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.","Action & Adventure, Anime Features, International Movies",netflix,s58,"Title: Naruto Shippûden the Movie: Bonds (Movie)
Description: When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.
Categories: Action & Adventure, Anime Features, International Movies"
movie_bf2b7c82fff3ce8df8147f12d930a17b,Naruto Shippûden the Movie: The Will of Fire,Movie,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.","Action & Adventure, Anime Features, International Movies",netflix,s59,"Title: Naruto Shippûden the Movie: The Will of Fire (Movie)
Description: When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.
Categories: Action & Adventure, Anime Features, International Movies"
movie_b24f83b672074df4715e713fad909a55,Naruto Shippuden: The Movie,Movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.","Action & Adventure, Anime Features, International Movies",netflix,s60,"Title: Naruto Shippuden: The Movie (Movie)
Description: The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.
Categories: Action & Adventure, Anime Features, International Movies"
movie_cb3d65c192b8d05d1a9b844909930262,Naruto Shippuden: The Movie: The Lost Tower,Movie,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","Action & Adventure, Anime Features, International Movies",netflix,s61,"Title: Naruto Shippuden: The Movie: The Lost Tower (Movie)
Description: When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.
Categories: Action & Adventure, Anime Features, International Movies"
movie_1c55aedef8104c6f0ecbf2bd4d931c6d,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.","Action & Adventure, Anime Features, International Movies",netflix,s62,"Title: Naruto the Movie 2: Legend of the Stone of Gelel (Movie)
Description: While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.
Categories: Action & Adventure, Anime Features, International Movies"
movie_569e66625be9ead1200221edccaefec1,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.","Action & Adventure, Anime Features, International Movies",netflix,s63,"Title: Naruto the Movie 3: Guardians of the Crescent Moon Kingdom (Movie)
Description: Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.
Categories: Action & Adventure, Anime Features, International Movies"
movie_b9c8dbf77ec21b2794b4618a0a532dfd,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","Action & Adventure, Anime Features, International Movies",netflix,s64,"Title: Naruto the Movie: Ninja Clash in the Land of Snow (Movie)
Description: Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.
Categories: Action & Adventure, Anime Features, International Movies"
movie_aa03f7db87e42aa3914152c6dedd13c0,Nightbooks,Movie,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies,netflix,s65,"Title: Nightbooks (Movie)
Description: Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
Categories: Children & Family Movies"
movie_bb71581bc69c0b63fd85eb6e0a8c5e0c,Schumacher,Movie,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Documentaries, International Movies, Sports Movies",netflix,s69,"Title: Schumacher (Movie)
Description: Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.
Categories: Documentaries, International Movies, Sports Movies"
movie_5e133ab3d810e23358531b73f7259cf2,A StoryBots Space Adventure,Movie,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies,netflix,s72,"Title: A StoryBots Space Adventure (Movie)
Description: Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
Categories: Children & Family Movies"
movie_a4081ce158d19c475b1af4a8059a60eb,King of Boys,Movie,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Dramas, International Movies",netflix,s74,"Title: King of Boys (Movie)
Description: When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.
Categories: Dramas, International Movies"
movie_7e3fb28cb105a5a2a0040a450d034e3e,You vs. Wild: Out Cold,Movie,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies,netflix,s76,"Title: You vs. Wild: Out Cold (Movie)
Description: After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.
Categories: Children & Family Movies"
movie_7178b2b6995770f96d3683b7f898c814,Little Singham - Black Shadow,Movie,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,"Children & Family Movies, Comedies",netflix,s78,"Title: Little Singham - Black Shadow (Movie)
Description: Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
Categories: Children & Family Movies, Comedies"
movie_28803c8bae490c2cc7e58cff646b0c7d,Tughlaq Durbar,Movie,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",netflix,s79,"Title: Tughlaq Durbar (Movie)
Description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Categories: Comedies, Dramas, International Movies"
movie_89944ad75a3140e7af9c61a2229b9dff,Tughlaq Durbar (Telugu),Movie,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",netflix,s80,"Title: Tughlaq Durbar (Telugu) (Movie)
Description: A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Categories: Comedies, Dramas, International Movies"
movie_e583a6daa214e7cc62f27f4064e8fa58,Firedrake the Silver Dragon,Movie,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies,netflix,s81,"Title: Firedrake the Silver Dragon (Movie)
Description: When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.
Categories: Children & Family Movies"
movie_c5d2c0f60141d855337af183527c6d54,Kate,Movie,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure,netflix,s82,"Title: Kate (Movie)
Description: Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.
Categories: Action & Adventure"
